Product,Product Type,Arrival Time,Production Days,Deadline
Product1,Type C,1,5,18
Product2,Type B,1,13,42
Product3,Type A,1,17,54
Product4,Type A,1,17,54
Product5,Type C,1,16,51
Product6,Type B,1,14,45
Product7,Type B,2,10,36
Product8,Type A,2,18,60
Product9,Type D,2,18,60
Product10,Type B,3,8,33
Product11,Type A,3,13,48
Product12,Type D,3,17,60
Product13,Type D,3,6,27
Product14,Type D,3,13,48
Product15,Type B,3,14,51
Product16,Type D,3,12,45
Product17,Type D,3,6,27
Product18,Type A,3,18,63
Product19,Type A,4,15,57
Product20,Type B,4,19,69
Product21,Type D,4,14,54
Product22,Type A,4,13,51
Product23,Type C,5,14,57
Product24,Type C,5,15,60
Product25,Type A,5,10,45
Product26,Type B,5,8,39
Product27,Type B,5,14,57
Product28,Type A,5,10,45
Product29,Type A,6,9,45
Product30,Type B,6,17,69
Product31,Type C,6,12,54
Product32,Type C,7,14,63
Product33,Type D,7,5,36
Product34,Type D,7,7,42
Product35,Type D,7,14,63
Product36,Type C,8,11,57
Product37,Type B,8,19,81
Product38,Type B,8,18,78
Product39,Type C,8,19,81
Product40,Type A,8,13,63
Product41,Type D,9,5,42
Product42,Type A,9,11,60
Product43,Type C,9,13,66
Product44,Type C,9,17,78
Product45,Type B,10,11,63
Product46,Type C,10,14,72
Product47,Type A,10,14,72
Product48,Type B,11,8,57
Product49,Type B,11,13,72
Product50,Type A,11,5,48
Product51,Type A,11,6,51
Product52,Type B,11,14,75
Product53,Type B,11,13,72
Product54,Type B,12,9,63
Product55,Type B,12,13,75
Product56,Type A,12,16,84
Product57,Type D,12,12,72
Product58,Type C,12,15,81
Product59,Type A,13,19,96
Product60,Type B,13,6,57
Product61,Type C,13,18,93
Product62,Type A,13,12,75
Product63,Type A,13,14,81
Product64,Type C,13,10,69
Product65,Type C,13,14,81
Product66,Type C,13,8,63
Product67,Type A,14,6,60
Product68,Type C,14,18,96
Product69,Type D,14,6,60
Product70,Type A,15,16,93
